event	left_node	right_node	hgt_id	left_date	right_date	midpoint_date
spe	1725	1724	NA	3726.035	3611.965	3669.0
spe	1724	1723	NA	3611.965	3457.54	3534.7525
los	1723	1657	NA	3457.54	3284.32	3370.93
spe	1723	1722	NA	3457.54	3243.33	3350.435
spe	1722	1664	NA	3243.33	2786.595	3014.9625
spe	1664	1663	NA	2786.595	2465.64	2626.1175
los	1663	GCA.001784555.1.Bacteria.Cyanobacteria	NA	2465.64	0.0	1232.82
spe	1664	1660	NA	2786.595	2421.455	2604.025
hgt origin	1660	GCA.003149375.1.Bacteria.Cyanobacteria	1: GCA.003149375.1.Bacteria.Cyanobacteria to dead	2421.455	0.0	1210.7275
hgt	None	dead	1: GCA.003149375.1.Bacteria.Cyanobacteria to dead	0.0	0.0	0.0
hgt origin	None	dead	2: dead to 167	0.0	0.0	0.0
hgt	168	167	2: dead to 167	1203.215	1031.0195	1117.11725
los	None	dead	NA	0.0	0.0	0.0
spe	168	167	NA	1203.215	1031.0195	1117.11725
hgt origin	167	GCA.000004985.1.Eukaryota.Heterolobosea	3: GCA.000004985.1.Eukaryota.Heterolobosea to dead	1031.0195	0.0	515.50975
hgt	None	dead	3: GCA.000004985.1.Eukaryota.Heterolobosea to dead	0.0	0.0	0.0
hgt origin	None	dead	4: dead to GCA.000189635.1.Eukaryota.Ciliophora	0.0	0.0	0.0
hgt	170	GCA.000189635.1.Eukaryota.Ciliophora	4: dead to GCA.000189635.1.Eukaryota.Ciliophora	1385.215	0.0	692.6075
los	None	dead	NA	0.0	0.0	0.0
spe	167	166	NA	1031.0195	815.5625	923.291
spe	166	165	NA	815.5625	570.5515	693.057
hgt origin	1660	GCA.900313115.1.Bacteria.Cyanobacteria	5: GCA.900313115.1.Bacteria.Cyanobacteria to dead	2421.455	0.0	1210.7275
hgt	None	dead	5: GCA.900313115.1.Bacteria.Cyanobacteria to dead	0.0	0.0	0.0
los	1660	GCA.900313115.1.Bacteria.Cyanobacteria	NA	2421.455	0.0	1210.7275
dup	None	dead	NA	0.0	0.0	0.0
hgt origin	None	dead	6: dead to GCA.002449765.1.Bacteria.Fibrobacterota	0.0	0.0	0.0
hgt	930	GCA.002449765.1.Bacteria.Fibrobacterota	6: dead to GCA.002449765.1.Bacteria.Fibrobacterota	1384.095	0.0	692.0475
los	None	dead	NA	0.0	0.0	0.0
hgt origin	None	dead	7: dead to 966	0.0	0.0	0.0
