event	left_node	right_node	hgt_id	left_date	right_date	midpoint_date
hgt origin	1721	1720	1: 1720 to dead	2916.245	2510.455	2713.35
hgt	None	dead	1: 1720 to dead	0.0	0.0	0.0
hgt origin	None	-1	2: -1 to GCA.002721815.1.Bacteria.Myxococcota	0.0	0.0	0.0
hgt	832	GCA.002721815.1.Bacteria.Myxococcota	2: -1 to GCA.002721815.1.Bacteria.Myxococcota	1444.88	0.0	722.44
hgt origin	None	dead	3: dead to GCA.002728755.1.Bacteria.Myxococcota	0.0	0.0	0.0
hgt	811	GCA.002728755.1.Bacteria.Myxococcota	3: dead to GCA.002728755.1.Bacteria.Myxococcota	1313.225	0.0	656.6125
los	None	dead	NA	0.0	0.0	0.0
hgt origin	1721	1720	4: 1720 to dead	2916.245	2510.455	2713.35
hgt	None	dead	4: 1720 to dead	0.0	0.0	0.0
hgt origin	None	dead	5: dead to GCA.002707085.1.Bacteria.Myxococcota.A	0.0	0.0	0.0
hgt	816	GCA.002707085.1.Bacteria.Myxococcota.A	5: dead to GCA.002707085.1.Bacteria.Myxococcota.A	1328.145	0.0	664.0725
los	None	dead	NA	0.0	0.0	0.0
spe	1721	1720	NA	2916.245	2510.455	2713.35
spe	1720	1719	NA	2510.455	2371.88	2441.1675
spe	1719	1718	NA	2371.88	2232.24	2302.06
spe	1718	1717	NA	2232.24	2064.395	2148.3175
los	1717	1716	NA	2064.395	1811.985	1938.19
spe	1718	1704	NA	2232.24	2105.22	2168.73
los	1704	1672	NA	2105.22	1717.695	1911.4575
spe	1704	1703	NA	2105.22	2001.35	2053.285
spe	1703	1679	NA	2001.35	1509.135	1755.2425
spe	1679	1678	NA	1509.135	796.3525	1152.74375
los	1678	1676	NA	796.3525	163.12655	479.73952
spe	1703	1702	NA	2001.35	1938.175	1969.7625
spe	1702	1701	NA	1938.175	1887.235	1912.705
spe	1701	1685	NA	1887.235	1635.52	1761.3775
los	1685	1684	NA	1635.52	1444.79	1540.155
hgt origin	1701	1700	6: 1700 to dead	1887.235	1825.65	1856.4425
hgt	None	dead	6: 1700 to dead	0.0	0.0	0.0
hgt origin	None	dead	7: dead to 1697	0.0	0.0	0.0
hgt	1698	1697	7: dead to 1697	1634.795	920.2075	1277.50125
los	None	dead	NA	0.0	0.0	0.0
spe	1698	1697	NA	1634.795	920.2075	1277.50125
spe	1697	1695	NA	920.2075	795.37	857.78875
los	1695	Nostoc.sp.PCC7120	NA	795.37	0.0	397.685
hgt origin	1701	1700	8: 1700 to dead	1887.235	1825.65	1856.4425
hgt	None	dead	8: 1700 to dead	0.0	0.0	0.0
hgt origin	None	dead	9: dead to GCA.001698445.1.Bacteria.Cyanobacteria	0.0	0.0	0.0
hgt	1684	GCA.001698445.1.Bacteria.Cyanobacteria	9: dead to GCA.001698445.1.Bacteria.Cyanobacteria	1444.79	0.0	722.395
los	None	dead	NA	0.0	0.0	0.0
spe	1701	1700	NA	1887.235	1825.65	1856.4425
spe	1700	1699	NA	1825.65	1773.275	1799.4625
los	1699	1698	NA	1773.275	1634.795	1704.035
spe	1700	1688	NA	1825.65	1436.775	1631.2125
hgt origin	1688	GCF.000353285.1.Bacteria.Cyanobacteria	10: GCF.000353285.1.Bacteria.Cyanobacteria to GCF.000316115.1.Bacteria.Cyanobacteria	1436.775	0.0	718.3875
hgt	1684	GCF.000316115.1.Bacteria.Cyanobacteria	10: GCF.000353285.1.Bacteria.Cyanobacteria to GCF.000316115.1.Bacteria.Cyanobacteria	1444.79	0.0	722.395
hgt origin	1688	GCF.000353285.1.Bacteria.Cyanobacteria	11: GCF.000353285.1.Bacteria.Cyanobacteria to GCF.002251945.1.Bacteria.Cyanobacteria	1436.775	0.0	718.3875
hgt	1672	GCF.002251945.1.Bacteria.Cyanobacteria	11: GCF.000353285.1.Bacteria.Cyanobacteria to GCF.002251945.1.Bacteria.Cyanobacteria	1717.695	0.0	858.8475
hgt origin	1720	GCF.000484535.1.Bacteria.Cyanobacteria	12: GCF.000484535.1.Bacteria.Cyanobacteria to dead	2510.455	0.0	1255.2275
hgt	None	dead	12: GCF.000484535.1.Bacteria.Cyanobacteria to dead	0.0	0.0	0.0
hgt origin	None	-1	13: -1 to 1169	0.0	0.0	0.0
hgt	1185	1169	13: -1 to 1169	2405.805	2113.35	2259.5775
hgt origin	None	dead	14: dead to 692	0.0	0.0	0.0
hgt	694	692	14: dead to 692	1256.385	1113.508	1184.9465
los	None	dead	NA	0.0	0.0	0.0
spe	694	692	NA	1256.385	1113.508	1184.9465
hgt origin	692	GCA.003140235.1.Bacteria.Acidobacteriota	15: GCA.003140235.1.Bacteria.Acidobacteriota to dead	1113.508	0.0	556.754
hgt	None	dead	15: GCA.003140235.1.Bacteria.Acidobacteriota to dead	0.0	0.0	0.0
hgt origin	None	-1	16: -1 to GCA.002404095.1.Bacteria.Planctomycetota	0.0	0.0	0.0
hgt	326	GCA.002404095.1.Bacteria.Planctomycetota	16: -1 to GCA.002404095.1.Bacteria.Planctomycetota	1208.648	0.0	604.324
hgt origin	None	dead	17: dead to GCA.001800095.1.Bacteria.Elusimicrobiota	0.0	0.0	0.0
hgt	244	GCA.001800095.1.Bacteria.Elusimicrobiota	17: dead to GCA.001800095.1.Bacteria.Elusimicrobiota	1375.91	0.0	687.955
los	None	dead	NA	0.0	0.0	0.0
hgt origin	692	GCA.003140235.1.Bacteria.Acidobacteriota	18: GCA.003140235.1.Bacteria.Acidobacteriota to dead	1113.508	0.0	556.754
hgt	None	dead	18: GCA.003140235.1.Bacteria.Acidobacteriota to dead	0.0	0.0	0.0
hgt origin	692	GCA.003140235.1.Bacteria.Acidobacteriota	19: GCA.003140235.1.Bacteria.Acidobacteriota to GCF.000427095.1.Bacteria.Armatimonadota	1113.508	0.0	556.754
hgt	1106	GCF.000427095.1.Bacteria.Armatimonadota	19: GCA.003140235.1.Bacteria.Acidobacteriota to GCF.000427095.1.Bacteria.Armatimonadota	1340.34	0.0	670.17
hgt origin	692	GCA.003140235.1.Bacteria.Acidobacteriota	20: GCA.003140235.1.Bacteria.Acidobacteriota to GCA.002898895.1.Bacteria.Armatimonadota	1113.508	0.0	556.754
hgt	1109	GCA.002898895.1.Bacteria.Armatimonadota	20: GCA.003140235.1.Bacteria.Acidobacteriota to GCA.002898895.1.Bacteria.Armatimonadota	1709.425	0.0	854.7125
hgt origin	None	-1	21: -1 to GCF.001535965.1.Bacteria.Bacteroidota	0.0	0.0	0.0
hgt	982	GCF.001535965.1.Bacteria.Bacteroidota	21: -1 to GCF.001535965.1.Bacteria.Bacteroidota	1900.265	0.0	950.1325
hgt origin	None	dead	22: dead to GCA.002763895.1.Bacteria.Bacteroidota	0.0	0.0	0.0
hgt	979	GCA.002763895.1.Bacteria.Bacteroidota	22: dead to GCA.002763895.1.Bacteria.Bacteroidota	1531.79	0.0	765.895
los	None	dead	NA	0.0	0.0	0.0
spe	1185	1169	NA	2405.805	2113.35	2259.5775
hgt origin	1169	1145	23: 1145 to dead	2113.35	1788.28	1950.815
hgt	None	dead	23: 1145 to dead	0.0	0.0	0.0
hgt origin	1169	1145	24: 1145 to dead	2113.35	1788.28	1950.815
hgt	None	dead	24: 1145 to dead	0.0	0.0	0.0
hgt origin	1169	1145	25: 1145 to dead	2113.35	1788.28	1950.815
hgt	None	dead	25: 1145 to dead	0.0	0.0	0.0
hgt origin	None	-1	26: -1 to GCA.003247575.1.Bacteria.Myxococcota.A	0.0	0.0	0.0
hgt	804	GCA.003247575.1.Bacteria.Myxococcota.A	26: -1 to GCA.003247575.1.Bacteria.Myxococcota.A	1824.305	0.0	912.1525
hgt origin	None	dead	27: dead to GCA.003290465.1.Bacteria.Sumerlaeota	0.0	0.0	0.0
hgt	265	GCA.003290465.1.Bacteria.Sumerlaeota	27: dead to GCA.003290465.1.Bacteria.Sumerlaeota	1568.825	0.0	784.4125
los	None	dead	NA	0.0	0.0	0.0
hgt origin	804	GCA.003247575.1.Bacteria.Myxococcota.A	28: GCA.003247575.1.Bacteria.Myxococcota.A to GCA.003242195.1.Bacteria.Firmicutes.E	1824.305	0.0	912.1525
hgt	1226	GCA.003242195.1.Bacteria.Firmicutes.E	28: GCA.003247575.1.Bacteria.Myxococcota.A to GCA.003242195.1.Bacteria.Firmicutes.E	1388.78	0.0	694.39
hgt origin	1169	1145	29: 1145 to dead	2113.35	1788.28	1950.815
hgt	None	dead	29: 1145 to dead	0.0	0.0	0.0
hgt origin	1169	1145	30: 1145 to dead	2113.35	1788.28	1950.815
hgt	None	dead	30: 1145 to dead	0.0	0.0	0.0
hgt origin	None	dead	31: dead to 825	0.0	0.0	0.0
hgt	826	825	31: dead to 825	1444.855	1134.553	1289.704
los	None	dead	NA	0.0	0.0	0.0
spe	826	825	NA	1444.855	1134.553	1289.704
hgt origin	825	GCA.002344285.1.Bacteria.Myxococcota	32: GCA.002344285.1.Bacteria.Myxococcota to GCF.000737335.2.Bacteria.Proteobacteria	1134.553	0.0	567.2765
hgt	821	GCF.000737335.2.Bacteria.Proteobacteria	32: GCA.002344285.1.Bacteria.Myxococcota to GCF.000737335.2.Bacteria.Proteobacteria	1377.535	0.0	688.7675
hgt origin	1169	1145	33: 1145 to dead	2113.35	1788.28	1950.815
hgt	None	dead	33: 1145 to dead	0.0	0.0	0.0
hgt origin	None	dead	34: dead to 1469	0.0	0.0	0.0
