event	left_node	right_node	hgt_id	left_date	right_date	midpoint_date
spe	515	514	NA	2401.52	2299.515	2350.5175
spe	514	513	NA	2299.515	2253.55	2276.5325
spe	513	512	NA	2253.55	2172.63	2213.09
los	512	511	NA	2172.63	2112.01	2142.32
spe	512	486	NA	2172.63	1956.2	2064.415
los	486	GCA.002721365.1.Bacteria.Proteobacteria	NA	1956.2	0.0	978.1
spe	513	483	NA	2253.55	2221.01	2237.28
spe	483	482	NA	2221.01	2151.75	2186.38
los	482	481	NA	2151.75	2091.815	2121.7825
spe	482	458	NA	2151.75	2053.74	2102.745
los	458	GCA.002340345.1.Bacteria.Proteobacteria	NA	2053.74	0.0	1026.87
spe	458	456	NA	2053.74	1898.57	1976.155
los	456	455	NA	1898.57	1531.25	1714.91
hgt origin	483	447	1: 447 to dead	2221.01	2113.215	2167.1125
hgt	None	dead	1: 447 to dead	0.0	0.0	0.0
hgt origin	None	dead	2: dead to GCA.002238965.1.Bacteria.UBA8248	0.0	0.0	0.0
hgt	746	GCA.002238965.1.Bacteria.UBA8248	2: dead to GCA.002238965.1.Bacteria.UBA8248	2548.44	0.0	1274.22
los	None	dead	NA	0.0	0.0	0.0
hgt origin	483	447	3: 447 to dead	2221.01	2113.215	2167.1125
hgt	None	dead	3: 447 to dead	0.0	0.0	0.0
hgt origin	None	dead	4: dead to GCA.003161515.1.Bacteria.Desulfobacterota.B	0.0	0.0	0.0
hgt	794	GCA.003161515.1.Bacteria.Desulfobacterota.B	4: dead to GCA.003161515.1.Bacteria.Desulfobacterota.B	2136.5	0.0	1068.25
los	None	dead	NA	0.0	0.0	0.0
hgt origin	483	447	5: 447 to dead	2221.01	2113.215	2167.1125
hgt	None	dead	5: 447 to dead	0.0	0.0	0.0
hgt origin	None	dead	6: dead to GCA.002348365.1.Bacteria.Proteobacteria	0.0	0.0	0.0
hgt	489	GCA.002348365.1.Bacteria.Proteobacteria	6: dead to GCA.002348365.1.Bacteria.Proteobacteria	1797.555	0.0	898.7775
los	None	dead	NA	0.0	0.0	0.0
spe	483	447	NA	2221.01	2113.215	2167.1125
los	447	439	NA	2113.215	1983.035	2048.125
spe	447	446	NA	2113.215	1951.09	2032.1525
spe	446	445	NA	1951.09	1836.495	1893.7925
los	445	GCA.002717225.1.Bacteria.Proteobacteria	NA	1836.495	0.0	918.2475
spe	445	444	NA	1836.495	1669.2	1752.8475
los	444	GCA.002686135.1.Bacteria.Proteobacteria	NA	1669.2	0.0	834.6
spe	514	436	NA	2299.515	2217.14	2258.3275
spe	436	435	NA	2217.14	2071.245	2144.1925
spe	435	434	NA	2071.245	1886.935	1979.09
hgt origin	434	GCA.002898275.1.Bacteria.Proteobacteria	7: GCA.002898275.1.Bacteria.Proteobacteria to dead	1886.935	0.0	943.4675
hgt	None	dead	7: GCA.002898275.1.Bacteria.Proteobacteria to dead	0.0	0.0	0.0
los	434	GCA.002898275.1.Bacteria.Proteobacteria	NA	1886.935	0.0	943.4675
hgt origin	None	dead	8: dead to GCA.002696345.1.Bacteria.Myxococcota	0.0	0.0	0.0
hgt	832	GCA.002696345.1.Bacteria.Myxococcota	8: dead to GCA.002696345.1.Bacteria.Myxococcota	2268.205	0.0	1134.1025
los	None	dead	NA	0.0	0.0	0.0
hgt origin	435	GCA.006969625.1.Bacteria.Proteobacteria	9: GCA.006969625.1.Bacteria.Proteobacteria to dead	2071.245	0.0	1035.6225
hgt	None	dead	9: GCA.006969625.1.Bacteria.Proteobacteria to dead	0.0	0.0	0.0
hgt origin	None	dead	10: dead to GCF.003612015.1.Bacteria.Proteobacteria	0.0	0.0	0.0
hgt	612	GCF.003612015.1.Bacteria.Proteobacteria	10: dead to GCF.003612015.1.Bacteria.Proteobacteria	1796.185	0.0	898.0925
los	None	dead	NA	0.0	0.0	0.0
hgt origin	436	GCA.002722885.1.Bacteria.Proteobacteria	11: GCA.002722885.1.Bacteria.Proteobacteria to dead	2217.14	0.0	1108.57
hgt	None	dead	11: GCA.002722885.1.Bacteria.Proteobacteria to dead	0.0	0.0	0.0
dup	None	dead	NA	0.0	0.0	0.0
hgt origin	None	dead	12: dead to GCA.002348365.1.Bacteria.Proteobacteria	0.0	0.0	0.0
hgt	489	GCA.002348365.1.Bacteria.Proteobacteria	12: dead to GCA.002348365.1.Bacteria.Proteobacteria	1797.555	0.0	898.7775
los	None	dead	NA	0.0	0.0	0.0
dup	None	dead	NA	0.0	0.0	0.0
hgt origin	None	dead	13: dead to GCF.900102465.1.Bacteria.Proteobacteria	0.0	0.0	0.0
hgt	455	GCF.900102465.1.Bacteria.Proteobacteria	13: dead to GCF.900102465.1.Bacteria.Proteobacteria	1531.25	0.0	765.625
los	None	dead	NA	0.0	0.0	0.0
hgt origin	None	dead	14: dead to GCF.000374645.1.Bacteria.Proteobacteria	0.0	0.0	0.0
hgt	574	GCF.000374645.1.Bacteria.Proteobacteria	14: dead to GCF.000374645.1.Bacteria.Proteobacteria	1962.545	0.0	981.2725
los	None	dead	NA	0.0	0.0	0.0
dup	436	GCA.002722885.1.Bacteria.Proteobacteria	NA	2217.14	0.0	1108.57
hgt origin	436	GCA.002722885.1.Bacteria.Proteobacteria	15: GCA.002722885.1.Bacteria.Proteobacteria to dead	2217.14	0.0	1108.57
hgt	None	dead	15: GCA.002722885.1.Bacteria.Proteobacteria to dead	0.0	0.0	0.0
hgt origin	None	dead	16: dead to GCA.002238415.1.Bacteria.Desulfobacterota.B	0.0	0.0	0.0
hgt	796	GCA.002238415.1.Bacteria.Desulfobacterota.B	16: dead to GCA.002238415.1.Bacteria.Desulfobacterota.B	2368.175	0.0	1184.0875
los	None	dead	NA	0.0	0.0	0.0
dup	796	GCA.002238415.1.Bacteria.Desulfobacterota.B	NA	2368.175	0.0	1184.0875
hgt origin	796	GCA.002238415.1.Bacteria.Desulfobacterota.B	17: GCA.002238415.1.Bacteria.Desulfobacterota.B to dead	2368.175	0.0	1184.0875
hgt	None	dead	17: GCA.002238415.1.Bacteria.Desulfobacterota.B to dead	0.0	0.0	0.0
hgt origin	None	dead	18: dead to GCA.002731375.1.Bacteria.Proteobacteria	0.0	0.0	0.0
hgt	498	GCA.002731375.1.Bacteria.Proteobacteria	18: dead to GCA.002731375.1.Bacteria.Proteobacteria	1734.36	0.0	867.18
los	None	dead	NA	0.0	0.0	0.0
hgt origin	796	GCA.002238415.1.Bacteria.Desulfobacterota.B	19: GCA.002238415.1.Bacteria.Desulfobacterota.B to dead	2368.175	0.0	1184.0875
hgt	None	dead	19: GCA.002238415.1.Bacteria.Desulfobacterota.B to dead	0.0	0.0	0.0
dup	None	dead	NA	0.0	0.0	0.0
hgt origin	None	dead	20: dead to GCF.001942305.1.Bacteria.Actinobacteriota	0.0	0.0	0.0
hgt	1158	GCF.001942305.1.Bacteria.Actinobacteriota	20: dead to GCF.001942305.1.Bacteria.Actinobacteriota	1386.605	0.0	693.3025
los	None	dead	NA	0.0	0.0	0.0
dup	None	dead	NA	0.0	0.0	0.0
hgt origin	None	dead	21: dead to GCF.003443735.1.Bacteria.Actinobacteriota	0.0	0.0	0.0
hgt	1155	GCF.003443735.1.Bacteria.Actinobacteriota	21: dead to GCF.003443735.1.Bacteria.Actinobacteriota	1711.135	0.0	855.5675
los	None	dead	NA	0.0	0.0	0.0
hgt origin	None	dead	22: dead to GCA.001304105.1.Bacteria.Desulfobacterota	0.0	0.0	0.0
hgt	861	GCA.001304105.1.Bacteria.Desulfobacterota	22: dead to GCA.001304105.1.Bacteria.Desulfobacterota	2265.965	0.0	1132.9825
los	None	dead	NA	0.0	0.0	0.0
hgt origin	796	GCA.002238415.1.Bacteria.Desulfobacterota.B	23: GCA.002238415.1.Bacteria.Desulfobacterota.B to dead	2368.175	0.0	1184.0875
hgt	None	dead	23: GCA.002238415.1.Bacteria.Desulfobacterota.B to dead	0.0	0.0	0.0
hgt origin	None	dead	24: dead to GCA.002292285.1.Bacteria.Proteobacteria	0.0	0.0	0.0
hgt	598	GCA.002292285.1.Bacteria.Proteobacteria	24: dead to GCA.002292285.1.Bacteria.Proteobacteria	1497.41	0.0	748.705
los	None	dead	NA	0.0	0.0	0.0
hgt origin	436	GCA.002722885.1.Bacteria.Proteobacteria	25: GCA.002722885.1.Bacteria.Proteobacteria to dead	2217.14	0.0	1108.57
hgt	None	dead	25: GCA.002722885.1.Bacteria.Proteobacteria to dead	0.0	0.0	0.0
hgt origin	None	dead	26: dead to 468	0.0	0.0	0.0
hgt	469	468	26: dead to 468	2003.935	1847.82	1925.8775
los	None	dead	NA	0.0	0.0	0.0
spe	469	468	NA	2003.935	1847.82	1925.8775
spe	468	467	NA	1847.82	1693.575	1770.6975
hgt origin	467	GCA.002291925.1.Bacteria.Proteobacteria	27: GCA.002291925.1.Bacteria.Proteobacteria to dead	1693.575	0.0	846.7875
hgt	None	dead	27: GCA.002291925.1.Bacteria.Proteobacteria to dead	0.0	0.0	0.0
los	467	GCA.002291925.1.Bacteria.Proteobacteria	NA	1693.575	0.0	846.7875
hgt origin	None	dead	28: dead to GCA.002721365.1.Bacteria.Proteobacteria	0.0	0.0	0.0
hgt	486	GCA.002721365.1.Bacteria.Proteobacteria	28: dead to GCA.002721365.1.Bacteria.Proteobacteria	1956.2	0.0	978.1
los	None	dead	NA	0.0	0.0	0.0
