event	left_node	right_node	hgt_id	left_date	right_date	midpoint_date
spe	1726	1725	NA	3442.105	3410.995	3426.55
spe	1725	1724	NA	3410.995	3346.625	3378.81
hgt origin	1724	1642	1: 1642 to dead	3346.625	3305.11	3325.8675
hgt	None	dead	1: 1642 to dead	0.0	0.0	0.0
hgt origin	1724	1642	2: 1642 to dead	3346.625	3305.11	3325.8675
hgt	None	dead	2: 1642 to dead	0.0	0.0	0.0
spe	1724	1642	NA	3346.625	3305.11	3325.8675
los	1642	1641	NA	3305.11	3138.575	3221.8425
spe	1642	1478	NA	3305.11	3178.32	3241.715
hgt origin	1478	1477	3: 1477 to dead	3178.32	3065.68	3122.0
hgt	None	dead	3: 1477 to dead	0.0	0.0	0.0
hgt origin	1478	1477	4: 1477 to dead	3178.32	3065.68	3122.0
hgt	None	dead	4: 1477 to dead	0.0	0.0	0.0
dup	None	dead	NA	0.0	0.0	0.0
hgt origin	None	dead	5: dead to GCA.002724675.1.Bacteria.Myxococcota.A	0.0	0.0	0.0
hgt	816	GCA.002724675.1.Bacteria.Myxococcota.A	5: dead to GCA.002724675.1.Bacteria.Myxococcota.A	2057.94	0.0	1028.97
los	None	dead	NA	0.0	0.0	0.0
dup	None	dead	NA	0.0	0.0	0.0
hgt origin	None	dead	6: dead to GCA.003247575.1.Bacteria.Myxococcota.A	0.0	0.0	0.0
hgt	804	GCA.003247575.1.Bacteria.Myxococcota.A	6: dead to GCA.003247575.1.Bacteria.Myxococcota.A	2545.8	0.0	1272.9
los	None	dead	NA	0.0	0.0	0.0
hgt origin	None	dead	7: dead to GCA.003138355.1.Bacteria.Actinobacteriota	0.0	0.0	0.0
hgt	1177	GCA.003138355.1.Bacteria.Actinobacteriota	7: dead to GCA.003138355.1.Bacteria.Actinobacteriota	2055.195	0.0	1027.5975
los	None	dead	NA	0.0	0.0	0.0
dup	1177	GCA.003138355.1.Bacteria.Actinobacteriota	NA	2055.195	0.0	1027.5975
hgt origin	1478	1477	8: 1477 to dead	3178.32	3065.68	3122.0
hgt	None	dead	8: 1477 to dead	0.0	0.0	0.0
hgt origin	None	dead	9: dead to GCA.003243965.1.Bacteria.Chloroflexota	0.0	0.0	0.0
hgt	1473	GCA.003243965.1.Bacteria.Chloroflexota	9: dead to GCA.003243965.1.Bacteria.Chloroflexota	2043.005	0.0	1021.5025
los	None	dead	NA	0.0	0.0	0.0
spe	1478	1477	NA	3178.32	3065.68	3122.0
spe	1477	1431	NA	3065.68	2900.705	2983.1925
hgt origin	1431	1427	10: 1427 to dead	2900.705	2775.63	2838.1675
hgt	None	dead	10: 1427 to dead	0.0	0.0	0.0
spe	1431	1427	NA	2900.705	2775.63	2838.1675
spe	1427	1413	NA	2775.63	2608.425	2692.0275
spe	1413	1399	NA	2608.425	2391.86	2500.1425
los	1399	GCA.002708145.1.Bacteria.Chloroflexota	NA	2391.86	0.0	1195.93
spe	1413	1412	NA	2608.425	2456.73	2532.5775
spe	1412	1411	NA	2456.73	2250.5	2353.615
los	1411	GCA.002450515.1.Bacteria.Chloroflexota	NA	2250.5	0.0	1125.25
spe	1412	1408	NA	2456.73	2414.235	2435.4825
spe	1408	1407	NA	2414.235	2350.905	2382.57
los	1407	GCA.002717565.1.Bacteria.Chloroflexota	NA	2350.905	0.0	1175.4525
spe	1407	1406	NA	2350.905	2276.4	2313.6525
los	1406	GCA.002710215.1.Bacteria.Chloroflexota	NA	2276.4	0.0	1138.2
spe	1408	1402	NA	2414.235	2331.705	2372.97
hgt origin	1402	GCA.003228115.1.Bacteria.Chloroflexota	11: GCA.003228115.1.Bacteria.Chloroflexota to dead	2331.705	0.0	1165.8525
hgt	None	dead	11: GCA.003228115.1.Bacteria.Chloroflexota to dead	0.0	0.0	0.0
los	1402	GCA.003228115.1.Bacteria.Chloroflexota	NA	2331.705	0.0	1165.8525
dup	None	dead	NA	0.0	0.0	0.0
hgt origin	None	dead	12: dead to GCA.002708145.1.Bacteria.Chloroflexota	0.0	0.0	0.0
hgt	1399	GCA.002708145.1.Bacteria.Chloroflexota	12: dead to GCA.002708145.1.Bacteria.Chloroflexota	2391.86	0.0	1195.93
los	None	dead	NA	0.0	0.0	0.0
hgt origin	None	dead	13: dead to GCA.002728355.1.Bacteria.Proteobacteria	0.0	0.0	0.0
hgt	557	GCA.002728355.1.Bacteria.Proteobacteria	13: dead to GCA.002728355.1.Bacteria.Proteobacteria	1783.96	0.0	891.98
los	None	dead	NA	0.0	0.0	0.0
hgt origin	1427	1426	14: 1426 to dead	2775.63	2665.03	2720.33
hgt	None	dead	14: 1426 to dead	0.0	0.0	0.0
los	1427	1426	NA	2775.63	2665.03	2720.33
dup	None	dead	NA	0.0	0.0	0.0
hgt origin	None	dead	15: dead to GCA.002898535.1.Bacteria.Acidobacteriota	0.0	0.0	0.0
hgt	670	GCA.002898535.1.Bacteria.Acidobacteriota	15: dead to GCA.002898535.1.Bacteria.Acidobacteriota	2753.645	0.0	1376.8225
los	None	dead	NA	0.0	0.0	0.0
dup	None	dead	NA	0.0	0.0	0.0
hgt origin	None	dead	16: dead to GCF.002902625.1.Bacteria.Firmicutes	0.0	0.0	0.0
