event	left_node	right_node	hgt_id	left_date	right_date	midpoint_date
spe	177	95	NA	3486.475	3251.76	3369.1175
spe	95	39	NA	3251.76	2961.96	3106.86
los	39	35	NA	2961.96	2647.665	2804.8125
hgt origin	39	38	1: 38 to dead	2961.96	2493.245	2727.6025
hgt	None	dead	1: 38 to dead	0.0	0.0	0.0
hgt origin	None	dead	2: dead to GCA.001273335.1.Archaea.Thermoproteota	0.0	0.0	0.0
hgt	121	GCA.001273335.1.Archaea.Thermoproteota	2: dead to GCA.001273335.1.Archaea.Thermoproteota	1743.665	0.0	871.8325
los	None	dead	NA	0.0	0.0	0.0
spe	39	38	NA	2961.96	2493.245	2727.6025
los	38	GCF.002214485.1.Archaea.Methanobacteriota.B	NA	2493.245	0.0	1246.6225
hgt origin	95	94	3: 94 to dead	3251.76	3195.115	3223.4375
hgt	None	dead	3: 94 to dead	0.0	0.0	0.0
hgt origin	None	dead	4: dead to GCA.001940655.1.Archaea.Asgardarchaeota	0.0	0.0	0.0
hgt	143	GCA.001940655.1.Archaea.Asgardarchaeota	4: dead to GCA.001940655.1.Archaea.Asgardarchaeota	2506.355	0.0	1253.1775
los	None	dead	NA	0.0	0.0	0.0
hgt origin	95	94	5: 94 to dead	3251.76	3195.115	3223.4375
hgt	None	dead	5: 94 to dead	0.0	0.0	0.0
hgt origin	None	dead	6: dead to 134	0.0	0.0	0.0
hgt	136	134	6: dead to 134	2332.2	2080.28	2206.24
los	None	dead	NA	0.0	0.0	0.0
spe	136	134	NA	2332.2	2080.28	2206.24
spe	134	133	NA	2080.28	1814.08	1947.18
los	133	GCA.000405685.1.Archaea.Thermoproteota	NA	1814.08	0.0	907.04
spe	134	130	NA	2080.28	1916.685	1998.4825
spe	130	128	NA	1916.685	930.467	1423.576
hgt origin	130	GCA.001510295.1.Archaea.Thermoproteota	7: GCA.001510295.1.Archaea.Thermoproteota to dead	1916.685	0.0	958.3425
hgt	None	dead	7: GCA.001510295.1.Archaea.Thermoproteota to dead	0.0	0.0	0.0
los	130	GCA.001510295.1.Archaea.Thermoproteota	NA	1916.685	0.0	958.3425
dup	None	dead	NA	0.0	0.0	0.0
hgt origin	None	dead	8: dead to GCA.000375685.1.Archaea.Thermoproteota	0.0	0.0	0.0
hgt	136	GCA.000375685.1.Archaea.Thermoproteota	8: dead to GCA.000375685.1.Archaea.Thermoproteota	2332.2	0.0	1166.1
los	None	dead	NA	0.0	0.0	0.0
hgt origin	None	dead	9: dead to GCA.003019535.1.Archaea.Thermoproteota	0.0	0.0	0.0
hgt	107	GCA.003019535.1.Archaea.Thermoproteota	9: dead to GCA.003019535.1.Archaea.Thermoproteota	1874.74	0.0	937.37
los	None	dead	NA	0.0	0.0	0.0
hgt origin	95	94	10: 94 to dead	3251.76	3195.115	3223.4375
hgt	None	dead	10: 94 to dead	0.0	0.0	0.0
hgt origin	None	dead	11: dead to GCA.001940725.1.Archaea.Asgardarchaeota	0.0	0.0	0.0
hgt	147	GCA.001940725.1.Archaea.Asgardarchaeota	11: dead to GCA.001940725.1.Archaea.Asgardarchaeota	2129.97	0.0	1064.985
los	None	dead	NA	0.0	0.0	0.0
spe	95	94	NA	3251.76	3195.115	3223.4375
spe	94	93	NA	3195.115	2978.785	3086.95
spe	93	92	NA	2978.785	2820.295	2899.54
los	92	70	NA	2820.295	2306.48	2563.3875
spe	92	91	NA	2820.295	2456.155	2638.225
spe	91	90	NA	2456.155	2213.885	2335.02
los	90	74	NA	2213.885	1964.425	2089.155
spe	90	89	NA	2213.885	2018.03	2115.9575
spe	89	88	NA	2018.03	1850.095	1934.0625
spe	88	87	NA	1850.095	1733.555	1791.825
los	87	GCA.002256595.1.Archaea.Halobacteriota	NA	1733.555	0.0	866.7775
spe	87	86	NA	1733.555	1547.845	1640.7
los	86	GCA.001412335.1.Archaea.Halobacteriota	NA	1547.845	0.0	773.9225
spe	86	84	NA	1547.845	1360.205	1454.025
los	84	GCF.000011005.1.Archaea.Euryarchaeota	NA	1360.205	0.0	680.1025
spe	88	80	NA	1850.095	1577.665	1713.88
hgt origin	80	GCF.002114285.1.Archaea.Halobacteriota	12: GCF.002114285.1.Archaea.Halobacteriota to dead	1577.665	0.0	788.8325
hgt	None	dead	12: GCF.002114285.1.Archaea.Halobacteriota to dead	0.0	0.0	0.0
hgt origin	None	dead	13: dead to GCF.000011005.1.Archaea.Euryarchaeota	0.0	0.0	0.0
hgt	84	GCF.000011005.1.Archaea.Euryarchaeota	13: dead to GCF.000011005.1.Archaea.Euryarchaeota	1360.205	0.0	680.1025
los	None	dead	NA	0.0	0.0	0.0
hgt origin	89	77	14: 77 to GCA.002011165.1.Archaea.Halobacteriota	2018.03	1646.475	1832.2525
