event	left_node	right_node	hgt_id	left_date	right_date	midpoint_date
spe	178	177	NA	3649.25	3486.475	3567.8625
spe	177	95	NA	3486.475	3251.76	3369.1175
los	95	39	NA	3251.76	2961.96	3106.86
spe	95	94	NA	3251.76	3195.115	3223.4375
los	94	42	NA	3195.115	2648.12	2921.6175
spe	94	93	NA	3195.115	2978.785	3086.95
spe	93	92	NA	2978.785	2820.295	2899.54
los	92	70	NA	2820.295	2306.48	2563.3875
spe	92	91	NA	2820.295	2456.155	2638.225
spe	91	90	NA	2456.155	2213.885	2335.02
hgt origin	90	74	1: 74 to GCA.001563325.1.Archaea.Asgardarchaeota	2213.885	1964.425	2089.155
hgt	143	GCA.001563325.1.Archaea.Asgardarchaeota	1: 74 to GCA.001563325.1.Archaea.Asgardarchaeota	2506.355	0.0	1253.1775
hgt origin	90	74	2: 74 to dead	2213.885	1964.425	2089.155
hgt	None	dead	2: 74 to dead	0.0	0.0	0.0
hgt origin	None	dead	3: dead to GCF.001886815.1.Bacteria.Calditrichota	0.0	0.0	0.0
hgt	992	GCF.001886815.1.Bacteria.Calditrichota	3: dead to GCF.001886815.1.Bacteria.Calditrichota	1729.195	0.0	864.5975
los	None	dead	NA	0.0	0.0	0.0
hgt origin	90	74	4: 74 to GCF.002214485.1.Archaea.Methanobacteriota.B	2213.885	1964.425	2089.155
hgt	38	GCF.002214485.1.Archaea.Methanobacteriota.B	4: 74 to GCF.002214485.1.Archaea.Methanobacteriota.B	2493.245	0.0	1246.6225
hgt origin	90	74	5: 74 to dead	2213.885	1964.425	2089.155
hgt	None	dead	5: 74 to dead	0.0	0.0	0.0
los	90	74	NA	2213.885	1964.425	2089.155
hgt origin	None	dead	6: dead to GCA.002494765.1.Archaea.Thermoplasmatota	0.0	0.0	0.0
hgt	47	GCA.002494765.1.Archaea.Thermoplasmatota	6: dead to GCA.002494765.1.Archaea.Thermoplasmatota	1758.69	0.0	879.345
los	None	dead	NA	0.0	0.0	0.0
hgt origin	90	89	7: 89 to 122	2213.885	2018.03	2115.9575
hgt	123	122	7: 89 to 122	2385.055	2203.735	2294.395
spe	90	89	NA	2213.885	2018.03	2115.9575
spe	89	88	NA	2018.03	1850.095	1934.0625
spe	88	80	NA	1850.095	1577.665	1713.88
los	80	GCF.002114285.1.Archaea.Halobacteriota	NA	1577.665	0.0	788.8325
spe	88	87	NA	1850.095	1733.555	1791.825
los	87	GCA.002256595.1.Archaea.Halobacteriota	NA	1733.555	0.0	866.7775
spe	87	86	NA	1733.555	1547.845	1640.7
spe	86	84	NA	1547.845	1360.205	1454.025
hgt origin	84	GCF.000011005.1.Archaea.Euryarchaeota	8: GCF.000011005.1.Archaea.Euryarchaeota to GCA.002256595.1.Archaea.Halobacteriota	1360.205	0.0	680.1025
