event	left_node	right_node	hgt_id	left_date	right_date	midpoint_date
hgt	None	dead	14: 1720 to dead	0.0	0.0	0.0
spe	1721	1720	NA	3160.365	2612.48	2886.4225
hgt origin	1720	1719	15: 1719 to dead	2612.48	2501.03	2556.755
hgt	None	dead	15: 1719 to dead	0.0	0.0	0.0
spe	1720	1719	NA	2612.48	2501.03	2556.755
spe	1719	1718	NA	2501.03	2361.38	2431.205
spe	1718	1717	NA	2361.38	2144.885	2253.1325
los	1717	1716	NA	2144.885	1743.295	1944.09
spe	1718	1704	NA	2361.38	2246.435	2303.9075
los	1704	1672	NA	2246.435	1997.32	2121.8775
spe	1704	1703	NA	2246.435	2154.635	2200.535
spe	1703	1679	NA	2154.635	1817.625	1986.13
spe	1679	1678	NA	1817.625	881.825	1349.725
los	1678	1676	NA	881.825	239.787	560.806
spe	1703	1702	NA	2154.635	2080.605	2117.62
spe	1702	1701	NA	2080.605	2039.37	2059.9875
los	1701	1700	NA	2039.37	1958.955	1999.1625
spe	1701	1685	NA	2039.37	1871.67	1955.52
hgt origin	1685	1684	16: 1684 to dead	1871.67	1655.535	1763.6025
hgt	None	dead	16: 1684 to dead	0.0	0.0	0.0
hgt origin	None	dead	17: dead to 1697	0.0	0.0	0.0
hgt	1698	1697	17: dead to 1697	1614.69	1292.96	1453.825
los	None	dead	NA	0.0	0.0	0.0
spe	1698	1697	NA	1614.69	1292.96	1453.825
spe	1697	1695	NA	1292.96	877.811	1085.3855
los	1695	Nostoc.sp.PCC7120	NA	877.811	0.0	438.9055
spe	1685	1684	NA	1871.67	1655.535	1763.6025
hgt origin	1684	GCF.000316115.1.Bacteria.Cyanobacteria	18: GCF.000316115.1.Bacteria.Cyanobacteria to GCF.000317045.1.Bacteria.Cyanobacteria	1655.535	0.0	827.7675
hgt	1699	GCF.000317045.1.Bacteria.Cyanobacteria	18: GCF.000316115.1.Bacteria.Cyanobacteria to GCF.000317045.1.Bacteria.Cyanobacteria	1903.47	0.0	951.735
hgt origin	1684	GCF.000316115.1.Bacteria.Cyanobacteria	19: GCF.000316115.1.Bacteria.Cyanobacteria to 1688	1655.535	0.0	827.7675
hgt	1700	1688	19: GCF.000316115.1.Bacteria.Cyanobacteria to 1688	1958.955	1633.475	1796.215
spe	1700	1688	NA	1958.955	1633.475	1796.215
hgt origin	1688	GCF.002215035.1.Bacteria.Cyanobacteria	20: GCF.002215035.1.Bacteria.Cyanobacteria to GCF.002251945.1.Bacteria.Cyanobacteria	1633.475	0.0	816.7375
hgt	1672	GCF.002251945.1.Bacteria.Cyanobacteria	20: GCF.002215035.1.Bacteria.Cyanobacteria to GCF.002251945.1.Bacteria.Cyanobacteria	1997.32	0.0	998.66
dup	None	dead	NA	0.0	0.0	0.0
hgt origin	None	dead	21: dead to GCA.002707085.1.Bacteria.Myxococcota.A	0.0	0.0	0.0
hgt	816	GCA.002707085.1.Bacteria.Myxococcota.A	21: dead to GCA.002707085.1.Bacteria.Myxococcota.A	1315.445	0.0	657.7225
los	None	dead	NA	0.0	0.0	0.0
dup	None	dead	NA	0.0	0.0	0.0
hgt origin	None	dead	22: dead to GCA.002721815.1.Bacteria.Myxococcota	0.0	0.0	0.0
hgt	832	GCA.002721815.1.Bacteria.Myxococcota	22: dead to GCA.002721815.1.Bacteria.Myxococcota	1570.54	0.0	785.27
los	None	dead	NA	0.0	0.0	0.0
hgt origin	None	dead	23: dead to GCA.002728755.1.Bacteria.Myxococcota	0.0	0.0	0.0
hgt	811	GCA.002728755.1.Bacteria.Myxococcota	23: dead to GCA.002728755.1.Bacteria.Myxococcota	1395.975	0.0	697.9875
los	None	dead	NA	0.0	0.0	0.0
hgt origin	None	dead	24: dead to 692	0.0	0.0	0.0
hgt	694	692	24: dead to 692	1206.005	1105.2925	1155.64875
los	None	dead	NA	0.0	0.0	0.0
spe	694	692	NA	1206.005	1105.2925	1155.64875
hgt origin	692	GCA.003140235.1.Bacteria.Acidobacteriota	25: GCA.003140235.1.Bacteria.Acidobacteriota to GCA.002686955.1.Bacteria.Gemmatimonadota.A	1105.2925	0.0	552.64625
hgt	1041	GCA.002686955.1.Bacteria.Gemmatimonadota.A	25: GCA.003140235.1.Bacteria.Acidobacteriota to GCA.002686955.1.Bacteria.Gemmatimonadota.A	2636.74	0.0	1318.37
hgt origin	692	GCA.003140235.1.Bacteria.Acidobacteriota	26: GCA.003140235.1.Bacteria.Acidobacteriota to GCA.001800095.1.Bacteria.Elusimicrobiota	1105.2925	0.0	552.64625
hgt	244	GCA.001800095.1.Bacteria.Elusimicrobiota	26: GCA.003140235.1.Bacteria.Acidobacteriota to GCA.001800095.1.Bacteria.Elusimicrobiota	1459.21	0.0	729.605
hgt origin	692	GCA.003140235.1.Bacteria.Acidobacteriota	27: GCA.003140235.1.Bacteria.Acidobacteriota to GCA.002404095.1.Bacteria.Planctomycetota	1105.2925	0.0	552.64625
hgt	326	GCA.002404095.1.Bacteria.Planctomycetota	27: GCA.003140235.1.Bacteria.Acidobacteriota to GCA.002404095.1.Bacteria.Planctomycetota	1183.194	0.0	591.597
hgt origin	326	GCA.002404095.1.Bacteria.Planctomycetota	28: GCA.002404095.1.Bacteria.Planctomycetota to GCA.002763895.1.Bacteria.Bacteroidota	1183.194	0.0	591.597
hgt	979	GCA.002763895.1.Bacteria.Bacteroidota	28: GCA.002404095.1.Bacteria.Planctomycetota to GCA.002763895.1.Bacteria.Bacteroidota	1509.38	0.0	754.69
hgt origin	1041	GCA.002686955.1.Bacteria.Gemmatimonadota.A	29: GCA.002686955.1.Bacteria.Gemmatimonadota.A to GCA.002898895.1.Bacteria.Armatimonadota	2636.74	0.0	1318.37
hgt	1109	GCA.002898895.1.Bacteria.Armatimonadota	29: GCA.002686955.1.Bacteria.Gemmatimonadota.A to GCA.002898895.1.Bacteria.Armatimonadota	2109.385	0.0	1054.6925
hgt origin	1041	GCA.002686955.1.Bacteria.Gemmatimonadota.A	30: GCA.002686955.1.Bacteria.Gemmatimonadota.A to GCF.001535965.1.Bacteria.Bacteroidota	2636.74	0.0	1318.37
hgt	982	GCF.001535965.1.Bacteria.Bacteroidota	30: GCA.002686955.1.Bacteria.Gemmatimonadota.A to GCF.001535965.1.Bacteria.Bacteroidota	1868.295	0.0	934.1475
hgt origin	1041	GCA.002686955.1.Bacteria.Gemmatimonadota.A	31: GCA.002686955.1.Bacteria.Gemmatimonadota.A to GCF.900187885.1.Bacteria.Chloroflexota	2636.74	0.0	1318.37
